EnergyTarget,CO2Target,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,NumberofBuildings,NumberofFloors,PropertyGFAParking,BuildingAge,GFA_per_floor,BuildingGFARatio,LargestUseRatio,SecondUseRatio,ThirdUseRatio,BuildingType,PrimaryPropertyType,Neighborhood,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,BuildingAgeCat,SizeCategory,HasEnergyStarScore,UsesElectricity,UsesGas,UsesSteam
11171407.0,328.63,128909.0,0.0,0.0,57.0,1.0,10,38281,15,17186.6,0.7772625184736947,0.7500552756217053,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,0,4,1,1,1,0
4557974.0,128.44,47994.0,0.0,0.0,57.0,1.0,5,16200,38,13682.0,0.7631925157140769,0.7015640988159626,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,2,3,1,1,1,0
4703690.0,157.77,40943.0,18153.0,4307.0,,1.0,3,0,110,29087.333333333332,1.0,0.46919621370126746,0.20802869519378422,0.04935710847791708,NonResidential,Small- and Mid-Sized Office,LAKE UNION,K-12 School,Other - Entertainment/Public Assembly,3,3,0,1,1,0
6731281.5,215.0,81871.0,0.0,0.0,29.0,1.0,4,0,22,20467.75,1.0,1.0,0.0,0.0,NonResidential,Hotel,NORTHEAST,No_Second_Use,No_Third_Use,1,3,1,1,1,0
44110016.0,311.84,616000.0,276000.0,71000.0,,3.0,2,0,55,357047.5,1.0,0.8626303222960531,0.3865031963534264,0.09942654688801911,NonResidential,Warehouse,GREATER DUWAMISH,Refrigerated Warehouse,Office,2,4,0,1,0,0
1802471.375,31.47,54986.0,0.0,0.0,97.0,1.0,2,0,26,27493.0,1.0,1.0,0.0,0.0,SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,1,2,1,1,1,0
6536359.5,130.56,55586.0,39314.0,0.0,57.0,1.0,2,0,55,47450.0,1.0,0.5857323498419389,0.4142676501580611,0.0,NonResidential,Small- and Mid-Sized Office,BALLARD,Non-Refrigerated Warehouse,No_Third_Use,2,3,1,1,1,0
3150635.5,83.86,51029.0,7849.0,0.0,83.0,1.0,2,0,116,26277.0,1.0,0.9709822278037827,0.14935114358564525,0.0,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,Other - Education,No_Third_Use,3,2,1,1,1,0
7886505.5,247.85,175015.0,0.0,0.0,95.0,1.0,3,0,62,58338.333333333336,1.0,1.0,0.0,0.0,NonResidential,K-12 School,NORTHWEST,No_Second_Use,No_Third_Use,2,4,1,1,1,0
2331573.25,45.43,38439.0,28197.0,3859.0,,1.0,3,0,105,23528.666666666668,1.0,0.5445697447085824,0.3994701498880798,0.054670897911767206,NonResidential,Self-Storage Facility,DOWNTOWN,Vocational School,Office,3,3,0,1,1,0
16163194.0,295.33,348630.0,0.0,0.0,67.0,1.0,24,205970,47,13842.083333333334,0.3800006020288372,1.049426567532585,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,2,4,1,1,1,0
9536161.0,66.48,103362.0,65676.0,493.0,78.0,1.0,5,0,43,33623.0,1.0,0.6148291348184278,0.3906611545668144,0.0029325164322041458,NonResidential,Large Office,DOWNTOWN,Retail Store,Data Center,2,4,1,1,0,0
1239429.75,33.26,51747.0,5681.0,0.0,,1.0,2,0,96,28714.0,1.0,0.9010761301107474,0.09892386988925263,0.0,NonResidential,Other,DOWNTOWN,"Personal Services (Health/Beauty, Dry Cleaning, etc)",No_Third_Use,3,2,0,1,1,0
5242479.5,35.36,34947.0,4993.0,0.0,14.0,1.0,8,0,106,7425.0,1.0,0.5883333333333334,0.08405723905723905,0.0,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,Retail Store,No_Third_Use,3,2,1,1,0,0
5078816.0,59.19,83591.0,10043.0,5000.0,71.0,1.0,20,10043,86,4931.7,0.8981791268730863,0.8474866678832856,0.10182087312691364,0.050692458989800675,NonResidential,Hotel,DOWNTOWN,Parking,Restaurant,3,3,1,1,1,0
82318072.0,2451.58,994212.0,117668.0,0.0,63.0,1.0,34,146694,34,29241.529411764706,0.8524519921304511,1.0,0.11835302732214055,0.0,NonResidential,Hotel,DOWNTOWN,Parking,Swimming Pool,1,4,1,1,1,1
5348309.0,134.38,41340.0,13730.0,9604.0,98.0,1.0,7,0,31,10164.285714285714,1.0,0.5810260014054813,0.19297259311314124,0.13498243148278286,NonResidential,Hotel,DOWNTOWN,Parking,Retail Store,1,3,1,1,1,0
6088417.5,227.18,88360.0,26450.0,8000.0,99.0,1.0,7,0,108,17544.285714285714,1.0,0.7194853839263904,0.21537334093314878,0.06514127514046088,NonResidential,Hotel,DOWNTOWN,Other - Entertainment/Public Assembly,Retail Store,3,3,1,1,1,0
5428403.5,144.79,70627.0,42546.0,0.0,86.0,1.0,5,42546,57,22634.6,0.6240622763379958,0.6240622763379958,0.3759377236620042,0.0,NonResidential,Hotel,LAKE UNION,Parking,No_Third_Use,2,3,1,1,1,0
6835263.5,199.95,107547.0,3000.0,0.0,84.0,1.0,7,34735,16,21493.285714285714,0.7691305590450174,0.714821239855636,0.019939781858786466,0.0,NonResidential,Hotel,LAKE UNION,Restaurant,No_Third_Use,0,4,1,1,1,0
5941927.0,162.39,88490.0,28300.0,0.0,80.0,1.0,6,28200,19,19383.333333333332,0.7575236457437661,0.7608770421324161,0.24333619948409285,0.0,NonResidential,Hotel,LAKE UNION,Parking,No_Third_Use,1,3,1,1,1,0
6849826.5,152.76,155602.0,0.0,0.0,81.0,1.0,6,36744,18,25933.666666666668,0.7638590763614863,1.0,0.0,0.0,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,1,4,1,1,1,0
3800842.5,146.34,56072.0,0.0,0.0,76.0,1.0,3,0,105,18690.666666666668,1.0,1.0,0.0,0.0,NonResidential,K-12 School,EAST,No_Second_Use,No_Third_Use,3,2,1,1,1,0
5387530.0,171.64,78051.0,44891.0,0.0,94.0,1.0,4,44891,17,30735.5,0.6348603406484359,0.6348603406484359,0.36513965935156417,0.0,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,Parking,No_Third_Use,1,3,1,1,1,0
3630147.25,87.98,54984.0,0.0,0.0,71.0,1.0,2,0,54,27492.0,1.0,1.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,CENTRAL,No_Second_Use,No_Third_Use,2,2,1,1,1,0
3787499.0,67.06,63371.0,20732.0,0.0,74.0,1.0,6,20732,8,14017.166666666666,0.7534927410437202,0.7534927410437202,0.2465072589562798,0.0,NonResidential,Hotel,LAKE UNION,Parking,No_Third_Use,0,3,1,1,1,0
7250730.5,262.75,76631.0,0.0,0.0,71.0,1.0,7,0,108,10947.285714285714,1.0,1.0,0.0,0.0,NonResidential,Hotel,EAST,No_Second_Use,No_Third_Use,3,3,1,1,1,0
15684371.0,481.97,40174.0,20868.0,17020.0,,1.0,6,9341,33,16630.0,0.9063840448987773,0.40262577670875926,0.20914010823812387,0.17057526558428543,NonResidential,Mixed Use Property,EAST,Parking,Office,1,3,0,1,0,1
1243027.75,39.06,72072.0,0.0,0.0,96.0,1.0,2,0,87,29160.0,1.0,1.2358024691358025,0.0,0.0,NonResidential,Retail Store,LAKE UNION,No_Second_Use,No_Third_Use,3,2,1,1,1,0
13909270.0,138.85,261826.0,150726.0,15139.0,96.0,1.0,5,0,6,63261.2,1.0,0.8277617244061131,0.47651957281872614,0.04786188058399145,NonResidential,Large Office,LAKE UNION,Parking,Other,0,4,1,1,1,0
20194606.0,526.85,235788.0,51537.0,0.0,37.0,1.0,7,44766,26,40409.0,0.8417396407448129,0.8335766784627187,0.18219774236998124,0.0,NonResidential,Hotel,LAKE UNION,Parking,No_Third_Use,1,4,1,1,1,0
23736924.0,607.41,368000.0,0.0,0.0,,1.0,1,0,54,389000.0,1.0,0.9460154241645244,0.0,0.0,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,2,4,0,1,1,1
8181881.0,344.2,65000.0,0.0,0.0,,1.0,1,0,54,91213.0,1.0,0.7126177189654983,0.0,0.0,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,2,3,0,1,0,1
21257836.0,804.2,278500.0,0.0,0.0,,1.0,5,0,78,79217.0,1.0,0.7031319035055607,0.0,0.0,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,3,4,0,1,0,1
40153432.0,617.52,598801.0,310699.0,26203.0,91.0,1.0,12,0,6,47610.75,1.0,1.048084378702989,0.5438180102882927,0.04586324166986097,NonResidential,Large Office,LAKE UNION,Parking,Other,0,4,1,1,1,0
